Source-Destination Pair,Total Data (bytes)
68.64.21.40:1853 -> 172.16.133.53:60838,59611
172.16.133.37:55363 -> 68.64.21.36:1853,42251
172.16.133.87:60115 -> 172.16.139.250:5440,120
172.16.133.82:60073 -> 96.43.146.176:443,3637
96.43.146.176:443 -> 172.16.133.99:55867,2948
172.16.133.109:49451 -> 96.43.146.22:443,5144
172.16.133.116:53121 -> 172.16.139.250:5440,120
68.64.21.42:1853 -> 172.16.133.56:49514,57428
172.16.133.132:38625 -> 98.139.134.187:80,538
172.16.133.116:53122 -> 172.16.139.250:5440,60
98.138.19.88:80 -> 172.16.133.132:44296,66
172.16.133.233:22 -> 172.16.128.233:55208,4554
172.16.133.116:53123 -> 172.16.139.250:5440,66
172.16.133.82:61235 -> 64.56.203.22:443,60
68.64.21.41:1853 -> 172.16.133.49:58246,54762
172.16.133.84:58729 -> 172.16.139.250:5440,650
172.16.133.35:49909 -> 172.16.139.250:5440,60
172.16.133.57:53807 -> 68.64.21.62:1853,1825464
157.56.232.214:443 -> 172.16.133.121:53746,234
157.56.242.198:443 -> 172.16.133.57:60587,1425
172.16.133.57:60587 -> 157.56.242.198:443,175
98.139.134.187:80 -> 172.16.133.132:38625,1514
172.16.133.82:61249 -> 96.43.146.176:443,10162
172.16.133.103:63409 -> 202.173.24.200:443,66
68.64.21.41:1853 -> 172.16.133.60:63861,50270
68.64.21.44:1853 -> 172.16.133.114:49319,52439
172.16.133.82:61234 -> 64.56.203.22:443,60
172.16.133.82:60717 -> 216.115.208.199:443,393
68.64.21.45:1853 -> 172.16.133.47:51444,58284
172.16.133.85:51696 -> 64.74.80.244:443,1903
172.16.133.118:56495 -> 68.64.21.45:1853,56613
172.16.133.35:64162 -> 172.16.139.250:5462,5822
172.16.133.39:55445 -> 67.217.78.36:1853,24108
24.63.70.49:28159 -> 172.16.133.25:59820,623
172.16.133.114:49319 -> 68.64.21.44:1853,56112
172.16.133.37:49273 -> 172.16.139.250:5462,6238
172.16.133.254:39259 -> 172.16.128.233:6343,176518
172.16.133.46:57824 -> 172.16.139.250:5500,150326
96.43.146.22:443 -> 172.16.133.109:49453,6293
172.16.133.37:49272 -> 172.16.139.250:5500,137452
172.16.133.35:63962 -> 172.16.139.250:5500,165212
172.16.133.67:49854 -> 172.16.139.250:5500,150596
184.96.221.120:64510 -> 172.16.133.78:58899,768
172.16.133.68:49278 -> 172.16.139.250:5500,137020
173.49.112.206:61315 -> 172.16.133.25:60121,1055
172.16.133.67:56707 -> 68.64.21.46:1853,22605
172.16.133.82:61247 -> 96.43.146.50:443,3008
172.16.133.49:54982 -> 67.217.65.65:443,2511
172.16.133.95:56882 -> 172.16.139.250:5440,66
172.16.133.132:54610 -> 98.139.161.29:80,74
172.16.133.76:60548 -> 5.79.25.106:443,1528
172.16.133.42:57833 -> 172.16.139.250:5500,201782
172.16.133.132:50395 -> 76.13.6.174:80,66
172.16.133.99:56566 -> 67.217.78.32:1853,24215
172.16.133.92:57607 -> 216.219.115.250:443,66
172.16.133.92:57606 -> 172.16.139.250:5440,325
172.16.133.103:63408 -> 216.219.112.250:443,60
68.64.21.37:1853 -> 172.16.133.26:54654,58514
67.217.64.49:443 -> 172.16.133.114:55269,3303
172.16.133.132:52323 -> 98.139.240.23:80,74
172.16.133.29:60816 -> 172.16.139.250:5440,265
172.16.133.44:64673 -> 172.16.139.250:5440,186
23.20.10.203:443 -> 172.16.133.24:57634,60
172.16.128.169:3502 -> 172.16.133.252:161,117
157.56.236.102:443 -> 172.16.133.23:61949,190
107.20.103.220:443 -> 172.16.133.26:53072,1305
208.85.40.50:80 -> 172.16.133.36:64948,866
5.79.25.105:443 -> 172.16.133.28:49284,2167
67.217.64.54:443 -> 172.16.133.114:55271,2142
172.16.133.83:57021 -> 172.16.139.250:5440,60
172.16.133.207:55872 -> 172.16.139.250:5440,60
172.16.133.28:49284 -> 5.79.25.105:443,1995
172.16.133.93:60597 -> 172.16.139.250:5440,66
172.16.133.11:55079 -> 172.16.139.250:5440,186
172.16.133.39:62817 -> 216.115.216.44:443,1057
172.16.133.47:51444 -> 68.64.21.45:1853,56613
172.16.133.46:58048 -> 172.16.139.250:5462,5282
172.16.133.73:60503 -> 172.16.139.250:5440,120
172.16.133.68:49279 -> 172.16.139.250:5462,6422
172.16.133.37:55511 -> 96.43.146.176:443,2948
172.16.133.21:53111 -> 172.16.139.250:5440,60
216.219.115.17:443 -> 172.16.133.39:62818,819
172.16.133.36:65068 -> 208.85.40.20:80,932
172.16.128.169:8014 -> 172.16.133.11:54680,206
172.16.133.114:55269 -> 67.217.64.49:443,36756
172.16.133.235:2682 -> 172.16.128.169:8014,60
172.16.128.169:8014 -> 172.16.133.72:52205,60
172.16.128.169:8014 -> 172.16.133.95:56519,60
172.16.133.97:59308 -> 172.16.139.250:5440,60
172.16.133.49:55355 -> 172.16.128.169:8014,60
172.16.128.169:8014 -> 172.16.133.76:62340,60
172.16.128.169:8014 -> 172.16.133.46:64483,60
172.16.133.88:51194 -> 172.16.128.169:8014,60
172.16.133.12:59108 -> 172.16.128.169:8014,60
172.16.128.169:8014 -> 172.16.133.87:59659,206
172.16.133.53:60838 -> 68.64.21.40:1853,53941
96.43.146.176:443 -> 172.16.133.37:55511,4542
172.16.133.60:62041 -> 67.217.64.49:443,2569
67.217.65.65:443 -> 172.16.133.47:56534,2184
172.16.133.68:56917 -> 205.203.132.1:80,4722
68.64.21.36:1853 -> 172.16.133.37:55363,42073
208.92.54.5:80 -> 172.16.133.56:56237,281652
172.16.131.10:8080 -> 172.16.133.235:2691,60
172.16.133.82:61250 -> 64.56.203.22:443,1560
172.16.133.24:55774 -> 172.16.139.250:5500,4596
96.43.146.48:443 -> 172.16.133.37:60537,4605
216.137.33.209:443 -> 172.16.133.82:61253,1580
172.16.133.82:61254 -> 216.137.33.209:443,258
172.16.133.132:38630 -> 98.139.134.187:80,66
172.16.133.33:57817 -> 172.16.139.250:5440,60
172.16.128.169:8014 -> 172.16.133.83:56650,60
67.217.66.99:443 -> 172.16.133.36:64958,2113
172.16.133.36:64954 -> 67.217.65.99:443,2696
172.16.133.60:62038 -> 67.217.64.49:443,1991
172.16.133.82:61258 -> 74.125.226.222:443,1781
172.16.128.169:8014 -> 172.16.133.103:63350,60
172.16.128.169:8014 -> 172.16.133.75:50413,60
216.137.33.209:443 -> 172.16.133.82:61254,1574
216.137.33.209:443 -> 172.16.133.82:61256,1818
172.16.133.68:60656 -> 172.16.139.250:5440,60
98.139.134.187:80 -> 172.16.133.132:38630,1411
68.64.21.46:1853 -> 172.16.133.67:56707,28390
172.16.133.66:53787 -> 172.16.139.250:5440,126
96.43.146.22:443 -> 172.16.133.109:49451,18382
172.16.133.82:61256 -> 216.137.33.209:443,236
172.16.133.11:49283 -> 172.16.139.250:5500,144422
172.16.133.82:61251 -> 64.56.203.22:443,120
172.16.133.24:56569 -> 96.43.146.48:443,3986
172.16.133.24:56570 -> 96.43.146.48:443,7490
172.16.133.24:56567 -> 96.43.146.48:443,8887
172.16.133.82:61259 -> 172.16.139.250:5440,265
216.185.152.111:80 -> 172.16.133.132:54620,7770
172.16.133.37:60538 -> 172.16.139.250:5440,325
172.16.133.233:22 -> 172.16.128.233:55207,60
68.64.21.45:1853 -> 172.16.133.118:56495,57110
172.16.133.37:60537 -> 96.43.146.48:443,1474
172.16.133.37:60539 -> 96.43.146.48:443,2615
172.16.133.82:61252 -> 64.56.203.22:443,97
96.43.146.176:443 -> 172.16.133.24:57115,11918
172.16.133.24:57115 -> 96.43.146.176:443,14955
202.68.93.36:443 -> 172.16.133.20:62259,60
23.33.81.244:80 -> 172.16.133.29:60108,6383
76.13.6.174:80 -> 172.16.133.132:50400,66
172.16.133.23:55024 -> 67.217.66.244:443,186
130.64.83.164:64216 -> 172.16.133.78:58905,817
98.138.19.88:80 -> 172.16.133.132:44305,74
172.16.133.132:44305 -> 98.138.19.88:80,132
68.64.21.42:1853 -> 172.16.133.36:62603,54080
172.16.133.49:58246 -> 68.64.21.41:1853,60454
172.16.133.23:55025 -> 216.219.115.250:443,60
96.43.146.176:443 -> 172.16.133.24:57212,27732
172.16.133.78:59016 -> 172.16.139.250:5440,120
172.16.133.126:57827 -> 72.52.5.192:80,3664
98.139.240.23:80 -> 172.16.133.132:52328,438
172.16.133.41:52362 -> 173.194.75.103:443,1012
172.16.133.67:55894 -> 172.16.139.250:5440,60
172.16.133.24:57212 -> 96.43.146.176:443,11885
172.16.133.42:57002 -> 172.16.139.250:5440,120
172.16.128.169:8014 -> 172.16.133.119:49271,266
172.16.133.119:49271 -> 172.16.128.169:8014,60
172.16.133.56:61341 -> 172.16.139.250:5440,120
172.16.133.92:55695 -> 216.115.216.101:443,2844
172.16.133.24:56083 -> 172.16.139.250:5462,180
172.16.133.56:49514 -> 68.64.21.42:1853,61122
172.16.133.63:49366 -> 172.16.139.250:5500,114
67.217.88.129:8200 -> 172.16.133.39:55446,2274
172.16.133.67:51313 -> 64.74.80.15:443,939
172.16.133.41:52656 -> 172.16.139.250:5440,126
172.16.133.75:50875 -> 172.16.139.250:5440,60
172.16.133.60:63861 -> 68.64.21.41:1853,55110
98.139.134.187:80 -> 172.16.133.132:38635,140
172.16.133.132:38635 -> 98.139.134.187:80,472
64.74.80.15:443 -> 172.16.133.67:51313,819
173.194.75.103:443 -> 172.16.133.41:52362,1575
172.16.133.85:52185 -> 172.16.139.250:5440,60
96.43.146.48:443 -> 172.16.133.37:60540,2204
172.16.133.116:52395 -> 96.43.146.48:443,62004
23.32.176.63:443 -> 172.16.133.73:59940,3064
172.16.133.13:52977 -> 172.16.139.250:5440,60
172.16.133.35:64163 -> 172.16.139.250:5500,60
96.43.146.176:443 -> 172.16.133.25:63141,4890
96.43.146.48:443 -> 172.16.133.37:60541,1859
23.21.122.20:5222 -> 172.16.133.54:64195,1452
23.23.126.165:5222 -> 172.16.133.114:63437,304
23.21.62.199:5222 -> 172.16.133.163:1121,1132
204.236.224.158:5222 -> 172.16.133.36:63693,1524
204.236.224.158:5222 -> 172.16.133.76:57695,1244
172.16.133.29:60773 -> 54.243.68.206:80,120
172.16.133.29:60774 -> 54.243.68.206:80,60
172.16.133.29:60783 -> 23.0.52.46:80,60
172.16.133.29:60784 -> 23.0.52.46:80,60
172.16.133.29:60782 -> 206.33.41.253:80,60
172.16.133.29:60805 -> 173.194.43.45:80,60
172.16.133.24:56804 -> 107.22.199.132:443,5940
172.16.133.20:62287 -> 172.16.139.250:5440,192
172.16.133.84:58698 -> 64.90.204.229:443,60
172.16.133.57:53807 -> 68.64.21.71:1853,1248
172.16.133.132:44310 -> 98.138.19.88:80,140
172.16.133.28:65272 -> 172.16.139.250:5440,590
172.16.133.50:50678 -> 96.43.146.22:443,991
172.16.133.99:55982 -> 172.16.139.250:5440,265
23.0.52.46:80 -> 172.16.133.29:60783,60
172.16.133.29:60775 -> 23.15.129.231:80,60
172.16.133.53:53841 -> 96.43.146.22:443,2681
172.16.133.29:60776 -> 23.15.129.231:80,60
