Source-Destination Pair,Total Data (bytes)
172.16.133.116:50730 -> 173.194.43.39:443,1484
173.194.43.41:443 -> 172.16.133.87:59745,95
172.16.128.169:3802 -> 172.16.133.254:161,117
172.16.133.118:58122 -> 64.74.80.188:443,1905
172.16.133.49:55714 -> 172.16.139.250:5440,385
216.219.117.209:443 -> 172.16.133.114:54346,3539
172.16.133.95:56892 -> 172.16.139.250:5440,126
172.16.133.11:54737 -> 96.43.146.22:443,60
172.16.133.92:57628 -> 172.16.139.250:5440,265
172.16.133.29:60825 -> 172.16.139.250:5440,66
172.16.133.44:64706 -> 172.16.139.250:5440,331
96.43.146.48:443 -> 172.16.133.11:54494,60
172.16.133.207:55881 -> 172.16.139.250:5440,60
172.16.133.47:51445 -> 68.64.28.108:8200,256
172.16.133.83:57031 -> 172.16.139.250:5440,60
172.16.133.93:60607 -> 172.16.139.250:5440,66
172.16.133.73:60516 -> 172.16.139.250:5440,60
172.16.133.21:53120 -> 172.16.139.250:5440,186
172.16.133.30:62558 -> 172.16.139.250:5440,325
199.102.234.31:80 -> 172.16.133.41:52735,60
172.16.133.25:63352 -> 172.16.139.250:5440,60
172.16.133.34:50387 -> 172.16.139.250:5440,385
157.56.238.6:443 -> 172.16.133.20:61071,120
172.16.133.33:57824 -> 172.16.128.169:8014,748
172.16.133.24:57678 -> 202.173.27.250:443,126
216.219.115.54:443 -> 172.16.133.39:62816,351
172.16.133.109:49151 -> 4.69.132.85:49560,1514
172.16.133.33:57827 -> 172.16.139.250:5440,120
172.16.133.68:60668 -> 172.16.139.250:5440,325
157.56.236.102:443 -> 172.16.133.13:50026,180
172.16.124.85:29856 -> 172.16.133.6:445,60
23.67.242.73:80 -> 172.16.133.115:53578,66
216.115.217.225:443 -> 172.16.133.37:60488,1729
172.16.133.12:59658 -> 172.16.139.250:5440,265
172.16.133.63:53823 -> 172.16.139.250:5440,60
172.16.133.13:50026 -> 157.56.236.102:443,710
172.16.133.82:61269 -> 172.16.139.250:5440,126
172.16.133.37:60553 -> 172.16.139.250:5440,126
173.194.43.53:443 -> 172.16.133.96:53336,74
67.217.95.254:443 -> 172.16.133.51:57460,60
172.16.133.101:51136 -> 96.43.146.160:443,157
172.16.133.99:51686 -> 216.219.115.17:443,1206
157.56.236.102:443 -> 172.16.133.13:50027,1971
172.16.133.235:2693 -> 172.16.128.169:8014,1228
172.16.133.51:57461 -> 78.108.117.250:443,60
172.16.133.44:64707 -> 107.23.112.156:80,247
172.16.133.78:59032 -> 172.16.139.250:5440,60
67.217.66.99:443 -> 172.16.133.26:53041,1092
67.217.65.99:443 -> 172.16.133.26:53038,1365
172.16.133.28:65282 -> 216.52.242.80:80,126
172.16.133.41:52059 -> 23.33.94.91:80,120
172.16.133.25:62051 -> 68.49.25.49:55165,553
96.43.146.176:443 -> 172.16.133.109:41873,1492
173.194.43.59:80 -> 172.16.133.28:65031,2109
172.16.133.56:61351 -> 172.16.139.250:5440,126
202.173.25.200:443 -> 172.16.133.51:57463,60
172.16.133.109:41873 -> 96.43.146.176:443,1781
172.16.133.118:57944 -> 216.115.217.201:443,2536
96.43.146.160:443 -> 172.16.133.101:51136,140
172.16.133.28:65288 -> 64.94.107.62:80,60
172.16.133.28:65284 -> 8.27.243.253:80,1896
208.111.161.254:80 -> 172.16.133.28:65292,1580
172.16.133.43:57711 -> 172.16.139.250:5440,60
208.111.161.254:80 -> 172.16.133.28:65291,3088
172.16.133.109:41874 -> 96.43.146.176:443,74
202.173.27.250:443 -> 172.16.133.24:57678,60
172.16.133.132:52400 -> 98.139.240.23:80,60
172.16.133.207:55648 -> 67.217.64.54:443,2476
172.16.133.56:60673 -> 216.115.208.199:443,3964
172.16.133.99:55991 -> 172.16.139.250:5440,325
96.43.146.176:443 -> 172.16.133.109:41874,1480
172.16.133.87:60127 -> 172.16.139.250:5440,265
68.64.28.20:443 -> 172.16.133.118:57961,453
172.16.133.116:53151 -> 172.16.139.250:5440,325
172.16.133.35:49919 -> 172.16.139.250:5440,325
172.16.133.132:38710 -> 98.139.134.187:80,472
172.16.133.109:49151 -> 68.86.93.185:49579,78
172.16.133.84:58739 -> 172.16.139.250:5440,186
172.16.133.116:53152 -> 172.16.139.250:5440,60
172.16.133.109:49151 -> 68.85.69.49:49581,78
172.16.133.116:53153 -> 172.16.139.250:5440,265
172.16.133.116:52397 -> 96.43.146.48:443,68056
172.16.133.254:161 -> 172.16.128.169:3839,123
172.16.133.56:60846 -> 67.217.64.54:443,1426
172.16.133.109:49151 -> 50.78.11.102:49588,1514
67.217.64.54:443 -> 172.16.133.56:60846,1233
96.43.146.22:443 -> 172.16.133.28:63799,482
172.16.133.57:60187 -> 184.73.197.44:443,8856
96.43.146.48:443 -> 172.16.133.116:52396,117160
172.16.133.116:52396 -> 96.43.146.48:443,69868
172.16.128.169:8014 -> 172.16.133.119:49272,60
172.16.133.109:41845 -> 96.43.146.176:443,66
96.43.146.176:443 -> 172.16.133.109:41845,2894
172.16.133.29:60826 -> 172.16.139.250:5440,60
172.16.133.132:50480 -> 76.13.6.174:80,66
172.16.133.44:64708 -> 172.16.139.250:5440,265
184.73.197.44:443 -> 172.16.133.57:60187,14873
172.16.133.207:55882 -> 172.16.139.250:5440,126
172.16.133.115:53614 -> 173.194.74.84:443,60
172.16.133.83:57032 -> 172.16.139.250:5440,60
96.43.146.48:443 -> 172.16.133.116:52397,63672
172.16.133.93:60608 -> 172.16.139.250:5440,60
172.16.133.11:55091 -> 172.16.139.250:5440,60
76.29.54.243:10009 -> 172.16.133.78:49259,653
54.235.187.196:443 -> 172.16.133.49:55146,3750
172.16.133.53:54048 -> 172.16.139.250:5440,590
172.16.133.73:60517 -> 172.16.139.250:5440,60
172.16.133.85:51320 -> 96.43.146.22:443,1594
172.16.133.21:53121 -> 172.16.139.250:5440,60
172.16.133.34:50388 -> 172.16.139.250:5440,66
172.16.133.55:57006 -> 96.43.146.22:443,1534
172.16.133.97:59318 -> 172.16.139.250:5440,60
107.20.161.243:443 -> 172.16.133.48:60317,1511
172.16.133.53:53651 -> 67.217.94.254:443,484
172.16.133.33:57828 -> 172.16.139.250:5440,120
172.16.133.68:60669 -> 172.16.139.250:5440,265
172.16.133.12:59659 -> 172.16.139.250:5440,530
172.16.133.63:53824 -> 172.16.139.250:5440,325
172.16.133.66:53798 -> 172.16.139.250:5440,180
172.16.133.47:56537 -> 67.217.66.65:443,2900
5.79.25.106:443 -> 172.16.133.76:60548,1435
172.16.133.82:61270 -> 172.16.139.250:5440,60
172.16.133.109:42575 -> 23.33.47.60:443,66
172.16.133.109:42574 -> 23.33.47.60:443,66
172.16.133.37:60554 -> 172.16.139.250:5440,120
172.16.133.36:64517 -> 54.243.254.190:443,35086
98.139.161.29:80 -> 172.16.133.132:54695,66
172.16.133.78:58887 -> 70.99.54.203:28061,3610
216.115.216.44:443 -> 172.16.133.67:51316,546
172.16.133.78:59033 -> 172.16.139.250:5440,60
216.52.242.80:80 -> 172.16.133.28:65030,996
172.16.133.73:57015 -> 74.125.133.189:443,120
172.16.133.109:49151 -> 4.69.132.85:49618,78
199.102.234.31:80 -> 172.16.133.41:52737,180
67.217.64.65:443 -> 172.16.133.47:56533,1741
172.16.133.56:61352 -> 172.16.139.250:5440,590
172.16.133.109:49151 -> 4.71.186.33:49623,78
172.16.133.28:65030 -> 216.52.242.80:80,1694
172.16.133.21:54016 -> 157.56.238.6:443,120
172.16.133.75:50886 -> 172.16.139.250:5440,120
172.16.133.90:51558 -> 172.16.128.169:8014,60
172.16.133.41:52738 -> 172.16.139.250:5440,60
172.16.133.85:52195 -> 172.16.139.250:5440,60
172.16.133.115:53599 -> 173.194.43.58:80,180
172.16.133.57:53807 -> 67.217.78.31:1853,1479
173.194.43.57:80 -> 172.16.133.28:65295,60
173.194.43.59:80 -> 172.16.133.28:65296,66
172.16.133.28:65296 -> 173.194.43.59:80,60
172.16.133.28:65299 -> 173.194.43.57:80,120
172.16.133.43:57712 -> 172.16.139.250:5440,530
172.16.133.93:54574 -> 96.43.146.22:443,1224
8.8.8.8:53 -> 172.16.133.6:60209,97
172.16.133.115:53645 -> 96.8.82.144:80,120
172.16.133.13:52987 -> 172.16.139.250:5440,120
172.16.133.33:49247 -> 172.16.139.250:5462,420
216.115.217.198:443 -> 172.16.133.57:59187,1726
23.0.49.244:80 -> 172.16.133.28:65303,66
172.16.133.39:64245 -> 174.129.24.9:443,5676
172.16.133.24:57679 -> 216.115.217.254:443,66
172.16.133.20:62311 -> 172.16.139.250:5440,60
172.16.133.33:57313 -> 173.194.43.33:80,60
172.16.133.28:65304 -> 172.16.139.250:5440,66
216.52.242.80:80 -> 172.16.133.28:65282,9612
174.129.24.9:443 -> 172.16.133.39:64245,176582
157.56.236.102:443 -> 172.16.133.73:57180,420
172.16.133.6:52550 -> 8.8.8.8:53,84
172.16.133.87:60128 -> 172.16.139.250:5440,60
172.16.133.78:58971 -> 173.59.1.130:47111,902
172.16.133.35:49920 -> 172.16.139.250:5440,120
172.16.133.116:53154 -> 172.16.139.250:5440,120
172.16.133.39:61143 -> 216.115.208.199:443,1969
172.16.133.84:58740 -> 172.16.139.250:5440,126
172.16.133.28:65055 -> 208.47.254.83:80,1084
172.16.133.116:53156 -> 172.16.139.250:5440,60
172.16.133.47:56547 -> 23.20.41.5:443,2181
67.228.168.221:80 -> 172.16.133.48:59660,120
199.102.234.31:80 -> 172.16.133.41:52739,420
23.20.41.5:443 -> 172.16.133.47:56547,1861
8.8.8.8:53 -> 172.16.133.6:64687,91
172.16.133.115:53600 -> 74.125.226.193:443,60
172.16.133.49:55716 -> 172.16.139.250:5440,60
172.16.133.78:53247 -> 96.43.146.22:443,1474
138.108.6.20:80 -> 172.16.133.28:65293,60
172.16.128.169:8014 -> 172.16.133.90:51558,192
173.194.74.84:443 -> 172.16.133.20:62312,2305
172.16.133.115:53666 -> 157.55.113.200:80,60
172.16.133.29:60827 -> 172.16.139.250:5440,325
172.16.133.44:64709 -> 172.16.139.250:5440,60
172.16.133.109:49151 -> 4.69.132.89:49657,1514
172.16.133.207:55883 -> 172.16.139.250:5440,66
173.194.43.43:443 -> 172.16.133.20:62314,296
180.153.30.250:443 -> 172.16.133.118:58208,60
172.16.133.83:57033 -> 172.16.139.250:5440,66
172.16.133.93:60609 -> 172.16.139.250:5440,60
172.16.133.11:55092 -> 172.16.139.250:5440,66
172.16.133.25:63354 -> 173.194.75.106:443,2040
172.16.133.55:57528 -> 172.16.139.250:5440,120
173.194.41.111:443 -> 172.16.133.67:55927,931
172.16.133.60:61930 -> 96.43.146.22:443,1185
172.16.133.53:54049 -> 172.16.139.250:5440,457
172.16.133.21:53122 -> 172.16.139.250:5440,66
172.16.133.207:49658 -> 157.56.245.198:443,12696
172.16.133.30:62560 -> 172.16.139.250:5440,265
172.16.133.73:60518 -> 172.16.139.250:5440,180
172.16.133.126:57848 -> 67.228.168.221:80,420
172.16.133.97:59319 -> 172.16.139.250:5440,66
172.16.133.28:65293 -> 138.108.6.20:80,60
172.16.133.25:63355 -> 172.16.139.250:5440,60
173.194.75.106:443 -> 172.16.133.25:63354,9398
172.16.133.20:50810 -> 172.16.139.250:5500,8122
172.16.133.68:60670 -> 172.16.139.250:5440,60
172.16.133.63:53825 -> 172.16.139.250:5440,391
172.16.133.20:55095 -> 172.16.139.250:5462,480
172.16.133.66:53799 -> 172.16.139.250:5440,325
172.16.133.12:59660 -> 172.16.139.250:5440,120
172.16.133.24:57680 -> 216.115.220.254:443,66
172.16.133.37:60555 -> 172.16.139.250:5440,265
172.16.133.33:57425 -> 23.33.91.46:80,120
172.16.133.99:51687 -> 216.115.217.144:443,846
172.16.133.51:57464 -> 67.217.95.254:443,60
172.16.133.25:63145 -> 96.43.146.22:443,60
172.16.133.29:60498 -> 173.194.43.57:80,60
172.16.133.109:35201 -> 96.43.149.26:443,66
172.16.133.109:49455 -> 96.43.146.22:443,66
96.43.146.22:443 -> 172.16.133.25:63147,60
172.16.133.36:64955 -> 67.217.64.100:443,1200
23.33.47.60:443 -> 172.16.133.109:42571,66
172.16.133.109:42570 -> 23.33.47.60:443,60
172.16.133.41:52077 -> 23.33.44.150:443,60
96.43.149.26:443 -> 172.16.133.109:35203,66
96.43.149.26:443 -> 172.16.133.109:35204,66
172.16.133.25:63140 -> 96.43.146.176:443,3742
68.64.28.20:443 -> 172.16.133.36:64957,787
172.16.133.109:41847 -> 96.43.146.176:443,60
172.16.133.109:53487 -> 96.43.146.50:443,120
96.43.146.50:443 -> 172.16.133.109:53487,66
66.31.24.112:32450 -> 172.16.133.78:54905,623
172.16.133.78:59034 -> 172.16.139.250:5440,120
172.16.133.67:55928 -> 172.16.139.250:5440,126
64.74.80.244:443 -> 172.16.133.85:51696,1061
172.16.133.109:51470 -> 96.43.146.178:443,74
172.16.133.56:61353 -> 172.16.139.250:5440,325
172.16.133.33:57702 -> 131.203.115.170:80,60
96.43.146.22:443 -> 172.16.133.121:56392,606
172.16.133.33:57730 -> 131.203.115.170:80,60
172.16.133.75:50887 -> 172.16.139.250:5440,60
172.16.133.85:52196 -> 172.16.139.250:5440,126
172.16.133.41:52740 -> 172.16.139.250:5440,60
172.16.133.33:57420 -> 64.74.101.52:80,60
23.33.91.46:80 -> 172.16.133.33:57417,60
64.74.101.52:80 -> 172.16.133.33:57420,60
96.43.146.176:443 -> 172.16.133.109:41876,78
172.16.133.109:41876 -> 96.43.146.176:443,66
66.150.102.78:80 -> 172.16.133.33:57405,60
172.16.133.43:57713 -> 172.16.139.250:5440,60
172.16.133.13:52988 -> 172.16.139.250:5440,60
66.235.146.171:443 -> 172.16.133.109:33658,78
172.16.133.20:62319 -> 172.16.139.250:5440,120
172.16.133.109:49151 -> 4.69.140.141:49690,78
172.16.133.109:49151 -> 4.69.134.137:49693,78
64.74.80.187:443 -> 172.16.133.95:56897,60
172.16.133.28:65305 -> 172.16.139.250:5440,126
174.129.20.55:80 -> 172.16.133.110:49253,74
172.16.133.24:57682 -> 216.219.120.244:443,60
172.16.133.20:60694 -> 96.43.146.22:443,1403
202.173.25.200:443 -> 172.16.133.51:57467,60
172.16.133.25:60406 -> 207.38.140.238:26845,543
67.217.65.244:443 -> 172.16.133.95:56896,60
172.16.133.20:62318 -> 216.52.242.80:80,60
172.16.133.116:53163 -> 172.16.139.250:5440,60
23.6.20.174:80 -> 172.16.133.93:60416,60
216.115.212.254:443 -> 172.16.133.95:56898,60
172.16.133.116:53164 -> 172.16.139.250:5440,120
216.219.115.160:443 -> 172.16.133.57:59181,1911
172.16.133.116:53165 -> 172.16.139.250:5440,126
172.16.133.109:42594 -> 23.33.47.60:443,74
172.16.128.169:3881 -> 172.16.133.254:161,117
172.16.133.20:62312 -> 173.194.74.84:443,120
172.16.133.20:62320 -> 172.16.139.250:5440,391
172.16.133.84:58741 -> 172.16.139.250:5440,60
172.16.133.35:49921 -> 172.16.139.250:5440,60
172.16.133.20:61335 -> 96.43.146.48:443,1379
96.43.146.176:443 -> 172.16.133.20:60149,2948
172.16.133.49:55717 -> 172.16.139.250:5440,60
68.49.25.49:55165 -> 172.16.133.25:62051,336
172.16.133.109:36279 -> 96.43.148.26:443,66
172.16.133.95:56899 -> 172.16.139.250:5440,391
96.43.146.176:443 -> 172.16.133.20:60145,5679
96.43.148.26:443 -> 172.16.133.109:36279,66
172.16.133.47:56536 -> 67.217.64.65:443,2505
96.43.146.176:443 -> 172.16.133.20:60143,5956
64.56.203.22:443 -> 172.16.133.25:63152,60
204.14.235.124:443 -> 172.16.133.75:50710,60
199.102.234.31:80 -> 172.16.133.41:52741,66
172.16.133.92:57631 -> 172.16.139.250:5440,66
172.16.133.29:60828 -> 172.16.139.250:5440,331
172.16.133.44:64710 -> 172.16.139.250:5440,60
172.16.133.207:55884 -> 172.16.139.250:5440,66
216.52.242.80:80 -> 172.16.133.20:62318,1514
172.16.133.20:62322 -> 208.111.160.6:80,186
172.16.133.83:57034 -> 172.16.139.250:5440,60
172.16.133.11:55093 -> 172.16.139.250:5440,397
172.16.133.93:60610 -> 172.16.139.250:5440,60
172.16.133.73:60519 -> 172.16.139.250:5440,120
172.16.133.53:54050 -> 172.16.139.250:5440,325
208.111.160.6:80 -> 172.16.133.20:62317,17060
172.16.133.30:62561 -> 172.16.139.250:5440,246
172.16.133.20:62317 -> 208.111.160.6:80,1241
208.111.160.6:80 -> 172.16.133.20:62316,5457
208.111.160.6:80 -> 172.16.133.20:62322,1983
172.16.133.20:62315 -> 208.111.160.6:80,626
172.16.133.97:59320 -> 172.16.139.250:5440,120
96.43.146.22:443 -> 172.16.133.87:59833,60
96.43.146.22:443 -> 172.16.133.87:59835,120
172.16.133.39:62821 -> 216.115.217.144:443,1545
172.16.133.233:22 -> 172.16.128.233:55214,3044
172.16.133.20:62316 -> 208.111.160.6:80,126
172.16.133.67:51811 -> 23.33.47.100:443,5936
172.16.133.33:57830 -> 172.16.139.250:5440,180
172.16.133.68:60671 -> 172.16.139.250:5440,60
23.67.242.59:80 -> 172.16.133.115:53680,66
172.16.133.63:53826 -> 172.16.139.250:5440,60
174.129.20.55:443 -> 172.16.133.18:50278,1646
172.16.133.66:53800 -> 172.16.139.250:5440,385
172.16.133.20:62321 -> 208.111.160.6:80,567
172.16.133.82:61272 -> 172.16.139.250:5440,265
172.16.133.37:60556 -> 172.16.139.250:5440,385
96.43.146.48:443 -> 172.16.133.20:61335,3291
172.16.133.20:60143 -> 96.43.146.176:443,927
172.16.133.78:62209 -> 128.119.195.145:38677,1224
68.64.28.20:443 -> 172.16.133.37:60490,472
172.16.133.96:59608 -> 74.125.226.245:443,1584
172.16.133.116:53167 -> 96.43.146.22:443,126
157.56.238.6:443 -> 172.16.133.20:61080,198
172.16.133.26:53042 -> 68.64.28.20:443,756
172.16.133.21:63112 -> 239.255.255.250:1900,700
172.16.133.20:60150 -> 96.43.146.176:443,3812
172.16.133.78:59035 -> 172.16.139.250:5440,240
172.16.133.20:62007 -> 173.194.43.39:80,60
96.43.146.22:443 -> 172.16.133.25:61938,137
172.16.133.67:55929 -> 172.16.139.250:5440,60
172.16.133.20:60149 -> 96.43.146.176:443,1534
173.194.43.30:443 -> 172.16.133.25:63165,126
172.16.133.56:61354 -> 172.16.139.250:5440,66
172.16.133.36:64957 -> 68.64.28.20:443,815
64.56.203.22:443 -> 172.16.133.82:61234,60
172.16.133.66:53704 -> 132.245.2.22:443,450
172.16.133.113:55590 -> 172.16.139.250:5462,330
172.16.133.75:50888 -> 172.16.139.250:5440,60
172.16.133.40:52600 -> 172.16.139.250:5462,540
172.16.133.73:59295 -> 172.16.139.250:5462,240
172.16.133.29:49810 -> 172.16.139.250:5462,300
172.16.133.85:52197 -> 172.16.139.250:5440,66
208.111.160.6:80 -> 172.16.133.20:62315,4602
208.111.160.6:80 -> 172.16.133.20:62321,3028
172.16.133.57:59187 -> 216.115.217.198:443,2918
172.16.133.43:57714 -> 172.16.139.250:5440,180
172.16.133.30:49490 -> 74.125.226.86:443,1938
172.16.133.109:49151 -> 4.71.208.18:49863,78
172.16.133.13:52989 -> 172.16.139.250:5440,60
172.16.133.109:49151 -> 4.69.140.141:49865,78
172.16.133.109:49151 -> 4.71.186.33:49872,78
172.16.133.109:49151 -> 68.86.93.185:49873,1514
172.16.133.20:62324 -> 172.16.139.250:5440,590
172.16.133.24:57683 -> 216.115.217.254:443,60
172.16.133.120:49250 -> 157.56.241.150:443,285
172.16.133.28:65306 -> 172.16.139.250:5440,325
172.16.133.116:53171 -> 96.43.146.22:443,424
172.16.133.99:55994 -> 172.16.139.250:5440,60
157.56.241.150:443 -> 172.16.133.120:49250,180
172.16.133.87:60130 -> 172.16.139.250:5440,60
216.219.115.183:443 -> 172.16.133.37:60482,1630
67.217.64.64:443 -> 172.16.133.47:56535,1104
172.16.133.92:58748 -> 68.64.28.91:8200,320
172.16.133.35:49922 -> 172.16.139.250:5440,180
172.16.128.169:3920 -> 172.16.133.254:161,117
172.16.133.116:53172 -> 172.16.139.250:5440,126
172.16.133.116:53173 -> 172.16.139.250:5440,132
172.16.133.84:58742 -> 172.16.139.250:5440,656
172.16.133.116:53174 -> 172.16.139.250:5440,66
172.16.133.73:55853 -> 74.125.226.201:443,4239
74.125.226.201:443 -> 172.16.133.73:55853,5798
64.74.80.188:443 -> 172.16.133.118:58122,1365
50.136.53.54:23604 -> 172.16.133.25:59742,930
172.16.133.49:55718 -> 172.16.139.250:5440,180
172.16.128.169:3917 -> 172.16.139.250:80,60
172.16.139.250:80 -> 172.16.128.169:3917,679
172.16.133.67:51317 -> 216.219.115.17:443,693
172.16.133.21:65192 -> 96.43.146.48:443,9692
172.16.133.21:51141 -> 96.43.146.176:443,8868
172.16.133.20:62325 -> 138.108.6.20:80,616
96.43.146.22:443 -> 172.16.133.116:53175,369
96.43.146.22:443 -> 172.16.133.116:53176,440
172.16.133.116:53175 -> 96.43.146.22:443,4362
172.16.133.92:57632 -> 172.16.139.250:5440,132
96.43.146.48:443 -> 172.16.133.21:63870,17883
96.43.146.48:443 -> 172.16.133.21:65192,17084
172.16.133.68:49722 -> 157.56.242.198:443,1628
98.138.19.88:80 -> 172.16.133.132:44385,750
172.16.133.132:44385 -> 98.138.19.88:80,66
96.43.146.176:443 -> 172.16.133.21:51141,18755
96.43.146.176:443 -> 172.16.133.21:50793,13122
172.16.133.29:60829 -> 172.16.139.250:5440,120
172.16.133.49:54981 -> 67.217.64.65:443,2774
172.16.133.114:55271 -> 67.217.64.54:443,1540
172.16.133.56:60854 -> 67.217.64.97:443,755
172.16.133.43:55728 -> 96.43.146.22:443,3908
172.16.133.93:60611 -> 172.16.139.250:5440,391
172.16.133.56:60850 -> 67.217.64.54:443,2441
172.16.133.11:55094 -> 172.16.139.250:5440,126
96.43.146.22:443 -> 172.16.133.43:55728,60
172.16.133.63:53497 -> 96.43.146.178:443,60
172.16.133.55:57530 -> 172.16.139.250:5440,120
172.16.133.115:53694 -> 23.67.242.11:80,60
172.16.133.53:54051 -> 172.16.139.250:5440,126
172.16.133.73:60520 -> 172.16.139.250:5440,325
172.16.133.21:53124 -> 172.16.139.250:5440,120
172.16.133.118:58125 -> 216.115.217.201:443,2596
96.43.146.178:443 -> 172.16.133.63:53500,120
172.16.133.34:50391 -> 172.16.139.250:5440,126
172.16.133.25:63357 -> 172.16.139.250:5440,60
96.43.146.50:443 -> 172.16.133.63:53490,60
96.43.146.178:443 -> 172.16.133.63:53496,120
172.16.133.97:59321 -> 172.16.139.250:5440,126
172.16.133.207:50478 -> 67.217.86.124:8200,192
216.115.208.199:443 -> 172.16.133.57:59178,4274
172.16.133.40:61226 -> 69.171.235.16:443,1309
172.16.133.12:59662 -> 172.16.139.250:5440,60
172.16.133.63:53827 -> 172.16.139.250:5440,66
172.16.133.132:50485 -> 76.13.6.174:80,206
98.139.134.187:80 -> 172.16.133.132:38715,1345
172.16.133.63:53507 -> 96.43.146.22:443,60
172.16.133.99:51683 -> 64.74.80.15:443,1210
172.16.133.37:60557 -> 172.16.139.250:5440,60
172.16.133.82:51039 -> 172.16.139.250:5500,6474
193.182.8.52:4070 -> 172.16.133.25:64779,163505
172.16.133.109:43791 -> 96.43.146.48:443,215
172.16.133.132:54700 -> 98.139.161.29:80,66
172.16.133.63:53493 -> 96.43.146.50:443,60
172.16.133.132:52413 -> 98.139.240.23:80,782
172.16.133.121:56322 -> 96.43.146.48:443,1639
172.16.133.25:49412 -> 173.194.68.189:443,1110
172.16.133.78:59036 -> 172.16.139.250:5440,126
172.16.133.114:55270 -> 67.217.65.49:443,941
172.16.133.42:57015 -> 172.16.139.250:5440,60
172.16.133.97:51866 -> 172.16.139.250:5500,13976
98.139.240.23:80 -> 172.16.133.132:52413,60
199.59.149.230:443 -> 172.16.133.63:53828,66
172.16.133.67:55930 -> 172.16.139.250:5440,60
172.16.133.41:52743 -> 199.102.234.31:80,782
172.16.133.56:61355 -> 172.16.139.250:5440,120
173.194.75.147:80 -> 172.16.133.163:3509,60
98.138.19.88:80 -> 172.16.133.132:44390,676
172.16.133.115:53714 -> 184.173.190.13:80,180
172.16.133.42:57016 -> 172.16.139.250:5440,60
172.16.133.42:57017 -> 172.16.139.250:5440,391
199.102.234.31:80 -> 172.16.133.41:52743,60
172.16.133.42:57018 -> 172.16.139.250:5440,126
172.16.133.75:50889 -> 172.16.139.250:5440,60
172.16.133.41:52744 -> 172.16.139.250:5440,60
172.16.133.121:56392 -> 96.43.146.22:443,3268
157.56.240.102:443 -> 172.16.133.97:50770,240
172.16.133.37:56098 -> 184.51.251.100:80,1457
172.16.133.109:57949 -> 23.33.81.213:443,318
172.16.133.40:59681 -> 122.161.67.119:38338,153
172.16.133.43:57715 -> 172.16.139.250:5440,60
23.33.81.213:443 -> 172.16.133.109:57949,1580
172.16.133.51:57469 -> 78.108.117.250:443,60
172.16.133.63:53828 -> 199.59.149.230:443,167
172.16.133.20:62314 -> 173.194.43.43:443,60
172.16.133.20:62326 -> 172.16.139.250:5440,60
98.139.134.187:80 -> 172.16.133.132:38720,1345
172.16.133.28:65307 -> 172.16.139.250:5440,120
172.16.133.95:56902 -> 67.217.65.244:443,60
172.16.133.78:54982 -> 72.80.185.137:13135,927
172.16.133.99:55995 -> 172.16.139.250:5440,66
216.115.208.199:443 -> 172.16.133.67:64620,3962
67.217.65.244:443 -> 172.16.133.95:56902,60
172.16.133.20:62327 -> 64.94.107.18:80,66
172.16.133.87:60131 -> 172.16.139.250:5440,120
172.16.133.95:56903 -> 216.115.212.254:443,66
172.16.133.116:53177 -> 172.16.139.250:5440,325
172.16.133.116:53178 -> 172.16.139.250:5440,457
172.16.133.132:52418 -> 98.139.240.23:80,74
172.16.133.116:53179 -> 172.16.139.250:5440,265
172.16.133.84:58743 -> 172.16.139.250:5440,60
172.16.133.109:47261 -> 23.33.81.213:443,410
172.16.133.20:62328 -> 208.47.254.81:80,60
172.16.133.33:57281 -> 173.194.75.99:443,60
172.16.133.41:51520 -> 173.194.43.53:443,4190
23.33.81.213:443 -> 172.16.133.109:47261,4030
64.74.80.15:443 -> 172.16.133.39:62815,728
172.16.133.53:53680 -> 96.43.146.176:443,120
8.27.243.253:80 -> 172.16.133.28:65285,4452
96.43.146.22:443 -> 172.16.133.49:54413,1146
216.219.120.244:443 -> 172.16.133.24:57686,60
172.16.133.24:57686 -> 216.219.120.244:443,60
172.16.133.95:56904 -> 172.16.139.250:5440,325
172.16.133.92:57633 -> 172.16.139.250:5440,265
172.16.133.35:49923 -> 172.16.139.250:5440,180
172.16.133.44:64712 -> 172.16.139.250:5440,66
172.16.133.29:60830 -> 172.16.139.250:5440,60
172.16.133.6:49578 -> 8.8.8.8:53,80
172.16.133.93:60612 -> 172.16.139.250:5440,120
172.16.133.93:49247 -> 132.245.1.150:443,297
172.16.133.11:55095 -> 172.16.139.250:5440,120
172.16.133.55:57531 -> 172.16.139.250:5440,265
172.16.133.132:38725 -> 98.139.134.187:80,132
98.139.134.187:80 -> 172.16.133.132:38725,1580
172.16.133.37:60484 -> 216.219.115.160:443,740
172.16.133.53:54052 -> 172.16.139.250:5440,66
172.16.133.21:53125 -> 172.16.139.250:5440,325
172.16.133.16:59330 -> 208.85.42.33:80,3714
172.16.133.30:62563 -> 172.16.139.250:5440,325
172.16.133.25:63358 -> 172.16.139.250:5440,246
172.16.133.34:50392 -> 172.16.139.250:5440,60
216.115.217.201:443 -> 172.16.133.92:55697,1365
172.16.133.49:54413 -> 96.43.146.22:443,2657
172.16.133.97:59322 -> 172.16.139.250:5440,590
208.85.42.33:80 -> 172.16.133.16:59330,171082
172.16.133.33:57832 -> 172.16.139.250:5440,60
173.194.68.189:443 -> 172.16.133.25:49412,710
173.194.43.32:443 -> 172.16.133.23:55006,132
172.16.133.66:53802 -> 172.16.139.250:5440,120
